run_dir	provider	model	schema	rules_mode	competition	problem_id	score	max_score	accuracy_pct	Communication	Planning	CS	turns_used	max_turns	api_calls	tokens	elapsed_sec	wrong_subs	submitted	graded	status
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_local	arml_local_2009	22.22	40.0	55.56	4.0	4.0	4.0	16	30	183	19098	394.7	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_local	arml_local_2010	26.67	40.0	66.67	4.0	3.0	3.5	22	30	255	28231	581.0	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_local	arml_local_2011	35.0	40.0	87.5	4.0	4.0	4.0	10	30	111	9158	239.1	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_local	arml_local_2012	26.67	40.0	66.67	4.0	4.0	4.0	11	30	123	13348	303.8	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_local	arml_local_2013	6.67	40.0	16.67	4.0	3.0	3.5	16	30	183	21902	472.8	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_local	arml_local_2014	50.0	60.0	83.33	4.0	4.0	4.0	17	30	195	23508	485.5	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2009	50.0	50.0	100.0	5.0	4.0	4.5	11	30	303	28722	678.5	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2010	10.0	50.0	20.0	4.0	3.0	3.5	11	30	303	27582	641.5	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2011	35.0	50.0	70.0	4.0	3.0	3.5	11	30	303	31086	670.7	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2012	40.0	50.0	80.0	4.0	4.0	4.0	10	30	273	24230	615.4	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2013	35.0	50.0	70.0	3.0	3.0	3.0	10	30	273	30361	701.0	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2014	30.0	50.0	60.0	4.0	4.0	4.0	10	30	273	26160	630.6	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2016	0.0	50.0	0.0	2.0	3.0	2.5	10	30	273	31537	662.8	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2017	10.0	50.0	20.0	4.0	3.0	3.5	10	30	273	29340	672.1	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2018	11.11	50.0	22.22	4.0	4.0	4.0	11	30	303	32486	726.9	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2019	5.0	50.0	10.0	3.0	4.0	3.5	11	30	303	34470	732.4	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	arml_national_team	arml_national_team_2023	45.0	50.0	90.0	4.0	3.0	3.5	23	30	663	38044	1231.5	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	hmmt_guts	hmmt_guts_2024	2.0	36.0	5.56	4.0	3.0	3.5	11	30	163	12584	342.6	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2018	4.0	30.0	13.33	4.0	3.0	3.5	20	30	231	25383	579.9	0	True	True	ok
